,STOXX1800,RUSSELL1000,SHANGHAI_A
2009-01-05,0.021256266700000002,-0.0035264783,0.0329135006
2009-01-06,0.022446421600000002,0.009239115400000001,0.0299972634
2009-01-07,-0.0285682272,-0.0295802143,-0.0068083681
2009-01-08,-0.0071612472,0.0044201724,-0.0238805409
2009-01-09,-0.0008868393,-0.0212207262,0.014205443600000001
2009-01-12,-0.0092313155,-0.0237497402,-0.0024087005
2009-01-13,-0.0025682375000000003,0.002697722,-0.0194390348
2009-01-14,-0.028263473100000002,-0.0340852077,0.0351694257
2009-01-15,-0.0035124476000000003,0.0028589893000000003,-0.0045069891
2009-01-16,0.00037097270000000003,0.0083994646,0.017876336200000002
2009-01-20,-0.0241008528,-0.0537628049,0.0037331249000000003
2009-01-21,0.021023302900000002,0.043535321200000004,-0.004567868
2009-01-22,-0.0151947408,-0.0161676812,0.0099972171
2009-01-23,0.0059197682,0.0060342468,-0.007177129500000001
2009-02-02,-0.0114092507,-0.0002480936,0.0105483138
2009-02-03,0.0049907052,0.015161893000000001,0.0244608412
2009-02-04,0.0122284295,-0.0058726939,0.0227907359
2009-02-05,0.0088918256,0.016593652400000002,-0.0046151387
2009-02-06,0.0190858266,0.028201549500000003,0.0396413039
2009-02-09,-0.009900931,0.0012982006,0.0198788402
2009-02-10,-0.0310240964,-0.0481411698,0.0181089536
2009-02-11,0.008765931000000001,0.0076749261,-0.0018651420000000002
2009-02-12,0.0004313448,0.0026103144,-0.0056467936
2009-02-13,-0.010965318200000001,-0.009536451100000001,0.0323529949
2009-02-17,-0.0239398707,-0.0453259468,-0.029233107
2009-02-18,-0.0031215521,-0.0016369127000000002,-0.0472850805
2009-02-19,-0.013867586900000001,-0.0117431884,0.0077182352000000004
2009-02-20,-0.016071609100000002,-0.010638597500000001,0.0153307728
2009-02-23,-0.0281234952,-0.035211259700000004,0.019569665400000002
2009-02-24,0.010639672000000001,0.0405406174,-0.045600554
2009-02-25,-0.000335278,-0.010463383500000001,0.0026759417
2009-02-26,-0.0046283207,-0.0156705357,-0.038593806700000004
2009-02-27,-0.0120628075,-0.021748012400000002,-0.0179979432
2009-03-02,-0.0401092087,-0.0480311132,0.0050475301
2009-03-03,-0.0095934487,-0.0060548417,-0.0105088073
2009-03-04,0.024251991100000002,0.0247738508,0.061140102700000004
2009-03-05,-0.0280910683,-0.0425401214,0.0104900487
2009-03-06,-0.0134784489,0.0012715706,-0.0127067993
2009-03-09,-0.0111054285,-0.0097586288,-0.0338989891
2009-03-10,0.0415958626,0.063892843,0.0187912428
2009-03-11,0.0066676124,0.0030739855,-0.0090844058
