quarter,n_train,n_test,directional_accuracy
2019-Q1,2020,56,0.6309523809523809
2019-Q2,2076,57,0.5847953216374269
2019-Q3,2133,63,0.47619047619047616
2019-Q4,2196,58,0.5919540229885057
2020-Q1,2254,56,0.375
2020-Q2,2310,56,0.5059523809523809
2020-Q3,2366,64,0.453125
2020-Q4,2430,58,0.5
2021-Q1,2488,57,0.4853801169590643
2021-Q2,2545,58,0.3505747126436782
2021-Q3,2603,62,0.6021505376344086
2021-Q4,2665,59,0.5988700564971752
2022-Q1,2724,56,0.3869047619047619
2022-Q2,2780,55,0.3878787878787879
2022-Q3,2835,63,0.48148148148148145
2022-Q4,2898,53,0.6289308176100629
