,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-02,0.013442243213581062,0.9865577567864201,0.0
2019-01-16,5.551115123125783e-17,1.0,0.0
2019-01-30,6.938893903907228e-16,1.0,0.0
2019-02-13,0.7148991790117164,0.2851008209882845,0.0
2019-02-27,1.0,4.440892098500626e-16,0.0
2019-03-13,0.3100472392425918,0.0,0.6899527607574089
2019-03-27,0.9999999999999992,1.1382467610910937e-15,0.0
2019-04-10,0.999999999999999,5.273559366969494e-16,4.728599359292424e-16
2019-04-24,1.0,0.0,1.073123375891211e-16
2019-05-08,1.0,0.0,4.881276277440515e-16
2019-05-22,0.9999999999999996,8.604228440844963e-16,0.0
2019-06-05,1.7763568394002505e-15,0.999999999999998,1.2279671425744986e-16
2019-06-19,0.0,1.0,0.0
2019-07-03,1.2212453270876722e-15,0.9999999999999987,1.6799997197928475e-16
2019-07-17,0.0,0.6812326475895253,0.318767352410476
2019-07-31,1.3888592781376274e-16,0.41901543025835525,0.5809845697416447
2019-08-14,2.9377973198365116e-16,0.9999999999999997,1.1102230246251565e-16
2019-08-28,0.0,1.0,0.0
2019-09-11,8.326672684688674e-16,0.999999999999999,1.252611988491737e-16
2019-09-25,0.0,1.0,6.092343397016909e-17
2019-10-09,3.3306690738754696e-16,0.9999999999999996,8.279970692838625e-17
2019-10-23,0.0,0.9999999999999999,4.85722573273506e-17
2019-11-06,0.46310175022272637,0.0,0.5368982497772739
2019-11-20,2.42861286636753e-17,0.0,1.0
2019-12-04,4.0727402873801836e-17,0.0,1.0
2019-12-18,2.07807855851746e-16,0.038285612102696154,0.9617143878973037
2019-12-31,0.01750511502234524,3.685905971118073e-18,0.9824948849776548
2020-01-15,0.4171781304111157,0.0,0.5828218695888847
2020-01-23,0.5704751754171552,0.0,0.4295248245828461
2020-02-12,2.7755575615628914e-16,9.485628621555061e-17,0.9999999999999996
2020-02-26,0.0,0.0,1.0
2020-03-11,0.0,0.12546104834161448,0.8745389516583857
2020-03-25,1.0,0.0,5.551115123125783e-17
2020-04-08,1.0,0.0,3.885780586188048e-16
2020-04-22,0.0,3.7462956440209704e-17,1.0
2020-05-06,0.0,0.0,1.0
2020-05-20,0.0,0.0,1.0
2020-06-03,1.3877787807814457e-16,5.204535903418528e-17,0.9999999999999998
2020-06-17,1.0547118733938987e-15,2.5326962749261384e-16,0.9999999999999989
2020-07-01,0.0,5.412337245047638e-16,0.9999999999999998
2020-07-15,0.0,1.8041124150158794e-16,1.0
2020-07-29,0.6654793738573074,0.0,0.3345206261426945
2020-08-12,1.0,5.854304959935593e-16,0.0
2020-08-26,1.0,0.0,3.885780586188048e-16
2020-09-09,0.9999999999999988,9.159339953157541e-16,4.553138431944047e-16
2020-09-23,1.0,0.0,9.694460352627783e-17
2020-09-30,1.0,0.0,3.329168340325093e-18
2020-10-21,1.0,1.942890293094024e-16,0.0
2020-11-04,1.0,2.7755575615628914e-17,0.0
2020-11-18,1.0,4.0939474033052647e-16,0.0
2020-12-02,0.9999999999999997,4.316240235220565e-16,0.0
2020-12-16,1.0,5.551115123125783e-17,0.0
2020-12-30,1.0,0.0,7.696690555387457e-17
2021-01-13,0.9999999999999996,4.163336342344337e-16,0.0
2021-01-27,1.0,1.6653345369377348e-16,0.0
2021-02-10,1.0,3.8250521044528166e-16,0.0
2021-02-24,1.0,0.0,1.6653345369377348e-16
2021-03-10,0.9371906792205679,4.807854969201325e-16,0.0628093207794316
2021-03-24,0.931315845779215,0.0,0.06868415422078594
2021-04-07,0.3413136407581182,7.550544785535863e-16,0.658686359241881
2021-04-21,0.0,8.235549120781387e-16,0.9999999999999991
2021-04-30,0.0,0.0,1.0
2021-05-19,0.0,1.3649894374538272e-15,1.0
2021-06-02,0.9999999999999996,0.0,6.938893903907228e-16
2021-06-16,1.0,0.0,1.942890293094024e-15
2021-06-30,0.21515381144638043,0.0,0.7848461885536213
2021-07-14,0.617295661626067,1.501118932755665e-15,0.38270433837393153
2021-07-28,0.6865307496707129,0.0,0.3134692503292876
2021-08-11,0.009471044272879578,5.806725201623702e-19,0.9905289557271204
2021-08-25,0.0,2.7755575615628914e-17,1.0
2021-09-08,0.0,9.71445146547012e-17,1.0
2021-09-22,1.5295843914976666e-16,0.0,1.0
2021-09-30,5.898059818321144e-17,0.0,1.0
2021-10-20,1.1102230246251565e-16,4.2351905259418594e-17,0.9999999999999998
2021-11-03,0.0,0.0,1.0
2021-11-17,0.0,0.0,1.0
2021-12-01,2.8054460114745846e-16,0.0,1.0
2021-12-15,1.8668964953862464e-16,0.0,0.9999999999999998
2021-12-29,0.9999999999999994,4.3015806547026575e-16,2.3592239273284576e-16
2022-01-12,1.0408340855860843e-16,0.0,0.9999999999999999
2022-01-26,2.7755575615628914e-17,0.0,0.9999999999999999
2022-02-09,2.2599914864585614e-16,0.894010672453544,0.10598932754645579
2022-02-23,7.216449660063518e-16,0.9999999999999998,0.0
2022-03-09,0.0,1.0,0.0
2022-03-23,0.0,0.5365993350843472,0.4634006649156537
2022-04-06,0.0,4.0245584642661925e-16,0.9999999999999999
2022-04-20,1.7431792010832472e-16,1.457167719820518e-16,0.9999999999999998
2022-04-29,4.163336342344337e-16,0.0,0.9999999999999999
2022-05-18,0.9999999999999999,0.0,3.8619270980275517e-16
2022-06-01,0.9999999999999994,8.881784197001252e-16,0.0
2022-06-15,1.0,0.0,0.0
2022-06-29,0.9999999999999991,1.942890293094024e-16,6.418793768008336e-16
2022-07-13,1.0,0.0,0.0
2022-07-27,1.0,0.0,0.0
2022-08-10,0.0,1.0,0.0
2022-08-24,2.7755575615628914e-16,0.9999999999999999,0.0
2022-09-07,3.4416913763379853e-15,0.9999999999999967,0.0
2022-09-21,0.9999999999999972,6.938893903907228e-16,2.1463759528968403e-15
2022-09-30,0.9999999999999993,1.4155343563970746e-15,0.0
2022-10-19,0.9999999999999993,8.881784197001252e-16,0.0
2022-11-02,0.9999999999999998,3.885780586188048e-16,0.0
2022-11-16,0.9999999999999992,2.0816681711721685e-16,5.944023738085548e-16
2022-11-30,1.0,4.741290123832733e-16,0.0
