,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-31,0.004140298542403775,0.9958597014575958,2.6661548943605143e-16
2019-02-28,1.0,3.469446951953614e-17,1.4667318561542623e-17
2019-03-31,1.0,4.561942457368256e-16,0.0
2019-04-30,1.0,0.0,1.0699910290806622e-15
2019-05-31,1.0,0.0,1.6567184409623396e-15
2019-06-30,1.1657341758564144e-15,0.9999999999999989,0.0
2019-07-31,1.3888592781376274e-16,0.41901543025835525,0.5809845697416447
2019-08-31,1.942890293094024e-16,1.0,0.0
2019-09-30,4.440892098500626e-16,0.9999999999999996,0.0
2019-10-31,9.685508087090252e-17,0.6460441236927422,0.35395587630725756
2019-11-30,0.0,9.64939933512099e-17,0.9999999999999999
2019-12-31,0.01750511502234524,3.685905971118073e-18,0.9824948849776548
2020-01-31,0.5704751754171552,0.0,0.4295248245828461
2020-02-29,0.0,4.85722573273506e-17,1.0
2020-03-31,1.0,1.3877787807814457e-16,0.0
2020-04-30,1.6414450663174675e-15,1.5543122344752192e-15,0.9999999999999969
2020-05-31,0.0,0.0,1.0
2020-06-30,4.1240051652541576e-16,0.0,0.9999999999999996
2020-07-31,0.8604135124329597,0.0,0.13958648756704062
2020-08-31,1.0,0.0,0.0
2020-09-30,1.0,0.0,3.329168340325093e-18
2020-10-31,1.0,0.0,0.0
2020-11-30,0.9999999999999996,2.2638141361497333e-16,5.551115123125783e-17
2020-12-31,0.9385222083801353,0.061477791619864636,4.213226798688502e-18
2021-01-31,1.0,5.551115123125783e-17,0.0
2021-02-28,0.9999999999999999,2.3993703283838494e-16,0.0
2021-03-31,0.6412646445378279,1.3080087588113345e-17,0.3587353554621721
2021-04-30,0.0,0.0,1.0
2021-05-31,1.0,0.0,1.1934897514720433e-15
2021-06-30,0.21515381144638043,0.0,0.7848461885536213
2021-07-31,0.905667811998682,0.0,0.0943321880013188
2021-08-31,0.0,5.551115123125783e-17,1.0
2021-09-30,5.898059818321144e-17,0.0,1.0
2021-10-31,0.0,1.191419682042958e-16,1.0
2021-11-30,0.0,0.0,1.0
2021-12-31,1.0,0.0,0.0
2022-01-31,1.299462900023026e-17,0.25554238026111636,0.7444576197388837
2022-02-28,0.0,1.0,0.0
2022-03-31,0.0,3.3306690738754696e-16,1.0
2022-04-30,4.163336342344337e-16,0.0,0.9999999999999999
2022-05-31,0.9999999999999996,0.0,1.288486421377335e-15
2022-06-30,0.9999999999999991,1.3600232051658168e-15,0.0
2022-07-31,1.0,0.0,0.0
2022-08-31,3.95516952522712e-16,0.9999999999999998,0.0
2022-09-30,0.9999999999999993,1.4155343563970746e-15,0.0
2022-10-31,0.9999999999999978,1.4502288259166107e-15,7.372055823915163e-16
