,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-31,0.9999999999999987,1.6653345369377348e-15,0.0
2019-02-28,1.0,0.0,0.0
2019-03-31,0.9999999999999993,1.8318679906315083e-15,0.0
2019-04-30,1.0,0.0,1.0474704346891038e-15
2019-05-31,1.0,0.0,1.5863106993505923e-16
2019-06-30,1.0,0.0,2.6227054067488847e-16
2019-07-31,0.9999999999999999,2.4020618011995306e-16,0.0
2019-08-31,0.9493418194241106,2.87305706976311e-17,0.05065818057588947
2019-09-30,0.9999999999999997,0.0,3.191891195797325e-16
2019-10-31,0.9999999999999994,4.1736170686534975e-16,1.0408340855860843e-16
2019-11-30,1.0,0.0,0.0
2019-12-31,1.0,6.788458624392992e-16,0.0
2020-01-31,1.0,1.942890293094024e-16,0.0
2020-02-29,0.9999999999999993,1.0824674490095276e-15,0.0
2020-03-31,0.9951323161309258,2.1405725270423707e-16,0.004867683869074055
2020-04-30,0.946754653435983,0.0,0.053245346564017255
2020-05-31,0.058526089605264404,0.7192891007890447,0.22218480960569092
2020-06-30,0.0,0.6889937252963586,0.31100627470364156
2020-07-31,1.3159470743268623e-16,0.5120725470499369,0.48792745295006296
2020-08-31,1.4840132259976062e-15,0.5698638014141273,0.43013619858587127
2020-09-30,0.0,0.6087590144611954,0.39124098553880493
2020-10-31,2.5161125734021914e-17,0.36831522890265705,0.6316847710973429
2020-11-30,0.0,0.4543779286729682,0.5456220713270319
2020-12-31,0.0,0.44260287100875045,0.5573971289912502
2021-01-31,0.0,0.4664024022546502,0.5335975977453501
2021-02-28,0.0,0.040172862192746434,0.9598271378072536
2021-03-31,1.7502162132236836e-16,0.7304634811638852,0.2695365188361147
2021-04-30,3.608224830031759e-16,0.9999999999999993,2.983952921023149e-16
2021-05-31,0.0,1.0,7.77235003353456e-18
2021-06-30,0.0,1.0,0.0
2021-07-31,0.0,0.9999999999999994,1.3584285302416493e-15
2021-08-31,0.0,1.0,0.0
2021-09-30,1.0,0.0,0.0
2021-10-31,1.1657341758564144e-15,0.9999999999999991,0.0
2021-11-30,1.0,0.0,4.840086285324848e-16
2021-12-31,0.9999999999999991,1.3877787807814457e-15,0.0
2022-01-31,1.0,0.0,6.804162415226278e-17
2022-02-28,0.9999999999999999,0.0,1.7221695387570712e-15
2022-03-31,1.0,0.0,0.0
2022-04-30,0.9999999999999996,4.440892098500626e-16,0.0
2022-05-31,1.0,0.0,9.71445146547012e-17
2022-06-30,0.9999999999999999,0.0,7.494005416219807e-16
2022-07-31,0.9999999999999998,5.751172135356372e-16,0.0
2022-08-31,0.9999999999999998,1.042127912320495e-15,0.0
2022-09-30,0.9217948435922176,0.0,0.07820515640778414
2022-10-31,0.9999999999999994,0.0,1.1379786002407855e-15
