,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-31,0.004140298542403775,0.9958597014575958,2.6661548943605143e-16
2019-02-28,1.0,3.469446951953614e-17,1.4667318561542623e-17
2019-03-31,1.0,4.561942457368256e-16,0.0
2019-04-30,1.0,0.0,0.0
2019-05-31,0.9999999999999984,5.533767888366015e-16,1.1129176448694013e-15
2019-06-30,3.469446951953614e-16,0.9999999999999996,2.595005449964267e-17
2019-07-31,0.0,1.0,4.4241245480181805e-17
2019-08-31,0.0,1.0,4.4364907848738257e-16
2019-09-30,0.0,1.0,5.078908515603767e-16
2019-10-31,0.0,1.0,0.0
2019-11-30,3.7246722912331253e-17,1.0,0.0
2019-12-31,0.0,1.0,1.7132955847730562e-16
2020-01-31,0.0,1.0,0.0
2020-02-29,0.9999999999999991,5.898059818321144e-16,3.586482885825755e-16
2020-03-31,1.0,0.0,0.0
2020-04-30,1.0,0.0,0.0
2020-05-31,1.0,0.0,0.0
2020-06-30,1.0,8.881784197001252e-16,0.0
2020-07-31,1.0,0.0,1.0403932211529637e-16
2020-08-31,1.0,0.0,0.0
2020-09-30,1.0,0.0,0.0
2020-10-31,1.0,0.0,0.0
2020-11-30,0.9999999999999997,5.082773187570859e-16,0.0
2020-12-31,0.0,0.9942256699938103,0.005774330006189597
2021-01-31,0.999999999999999,8.604228440844963e-16,1.002286797815151e-17
2021-02-28,1.0,0.0,3.1051269339519033e-17
2021-03-31,1.0,2.7755575615628914e-16,0.0
2021-04-30,1.0,0.0,0.0
2021-05-31,0.9999999999999998,6.140921104957897e-16,0.0
2021-06-30,0.9999999999999998,0.0,8.465450562766819e-16
2021-07-31,0.9999999999999993,6.331740687315346e-16,6.232177494826914e-17
2021-08-31,0.9999999999999996,1.1934897514720433e-15,0.0
2021-09-30,5.273559366969494e-16,1.0,0.0
2021-10-31,2.42861286636753e-17,0.4490292438437489,0.5509707561562511
2021-11-30,0.0,0.0,1.0
2021-12-31,2.498001805406602e-16,1.6653345369377348e-16,1.0
2022-01-31,2.0186963469892084e-16,0.0018243749585646896,0.9981756250414352
2022-02-28,0.0,1.0,0.0
2022-03-31,0.0,8.326672684688674e-17,1.0
2022-04-30,3.608224830031759e-16,0.0,1.0
2022-05-31,0.9999999999999998,1.27675647831893e-15,0.0
2022-06-30,1.0,1.582067810090848e-15,0.0
2022-07-31,0.9999999999999984,1.5404344466674047e-15,8.691853513043836e-17
2022-08-31,0.0,1.0,6.02547961670062e-16
2022-09-30,2.275957200481571e-15,1.0,0.0
2022-10-31,3.608224830031759e-15,0.9999999999999963,7.759780536437004e-17
