,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-02-01,-0.0011106568310272986,0.0016866572026378328,3.47233838626778e-18
2019-02-11,-0.005082559996419875,0.0010868545891308192,3.634826983012191e-18
2019-02-12,-0.009373217835469027,0.012803298733377022,1.8111822076100938e-18
2019-02-13,-0.005112537564325092,0.0030120451863462523,4.9128772327429576e-18
2019-02-14,0.0009217011166551225,-0.00210520359105449,-1.3566265269001856e-19
2019-02-15,-0.01019081606113049,0.010720023076674896,-3.664765956182786e-18
2019-02-19,0.0008967822172753998,0.0015479134315149398,1.2477223645457313e-19
2019-02-20,-0.002531882568137133,0.0017747727611562333,5.413998908375808e-19
2019-02-21,0.00237765048983538,-0.003451508811104265,-9.12791774959089e-19
2019-02-22,-0.005164610669770428,0.006700921240317711,5.085650388684619e-18
2019-02-25,-0.0018067105792978011,0.0014296687352447605,1.494054376758043e-17
2019-02-26,0.0007735028526985314,-0.0011814175425283967,-1.781253632443586e-18
2019-02-27,0.0018763611064037153,0.0002557176508280422,1.121636833513294e-18
2019-02-28,0.003186562229664908,-0.0026558393164829303,-1.160891511854079e-18
2019-03-01,0.0,2.35739244097699e-19,2.649551800396014e-19
2019-03-04,0.0,-1.5137401401799088e-19,1.6441242004283908e-19
2019-03-05,0.0,-4.318323823526704e-20,1.2896083344947302e-19
2019-03-06,0.0,-2.420270511782618e-19,2.3018224734261417e-19
2019-03-07,0.0,-2.6782081413712075e-19,2.0405260119997614e-20
2019-03-08,0.0,-7.120909417679398e-20,-6.451641076450609e-19
2019-03-11,0.0,5.103999722866347e-19,2.8222843815650957e-19
2019-03-12,0.0,1.0436005185021633e-19,1.6174468120744633e-19
2019-03-13,0.0,2.3618166103411826e-19,-1.5984411940287876e-19
2019-03-14,0.0,-2.0169890063703728e-20,-1.757420861277409e-19
2019-03-15,0.0,1.633247599663878e-19,1.5221254634787652e-19
2019-03-18,0.0,1.3367085563431577e-19,3.632091739112322e-19
2019-03-19,0.0,-1.4848795804045518e-20,-2.573324865792563e-20
2019-03-20,0.0,-1.1070543440294676e-19,-1.5408194156723267e-21
2019-03-21,0.0,3.936544909488581e-19,5.1109725058964734e-20
2019-03-22,0.0,-6.80897501575961e-19,1.2597491500579284e-20
2019-03-25,0.0,-3.015288366214896e-20,-2.8917832998058187e-19
2019-03-26,0.0,2.5560643532318566e-19,-2.21406058748047e-19
